
&Oumlzkul, Ahmet Salih (II)	Ii (2013)
'Abd Al-Hamid, Ja'far	A Two Hour Delay (2001)
			Badgeless sur la Croisette (2012)
			Just Outside the Frame: The Profilmic Event and Beyond (2008)
			Mesocafe (2009) {{SUSPENDED}}
			Mesocafé (2011)

'D.J'Arlia, Domenic	She'll Never Know (2012)

'Dada' Pecori, Diego	Cantarella (2011)
			Makhno Beer (2010)

'Kid Niagara' Kallet, Harry	Drug Demon Romance (2012)  (co-director)

'Legend' Spivey, Larry	The Crime City Diaries: Entry 1 - Crooked (2012)

's Gravesande, Ad	Ignore Het gat van NederlandIgnore  (1972)

's-Gravesande, Pjotr	Editors: The Back Room (Festival Edition) (2005) (V)
			Go Back to the Zoo: Live at Paradiso 2011 (2011) (V)
			Lucie Silvas: Live in Amsterdam (2007) (V)
			Milow: Maybe Next Year - Live in Amsterdam (2009) (V)  (uncredited)
			Thomas Dybdahl: Live at the Paradiso, Amsterdam (2009) (V)
			Wir Sind Helden - Soundso (2007) (V)

't Hoen, Frans		De reünie (1963) (TV)
			Ignore School voor volwassenenIgnore  (1960) {(#1.7)}
			Ignore School voor volwassenenIgnore  (1960) {(#1.8)}
			Ignore School voor volwassenenIgnore  (1960) {(#1.9)}

't Joen, Léon		Jack l'éventreur (1971)

-, Linker		Nocturno Con Brandy (2009)

-Kyoung, Soo		Marriage Date (2012)

., Crobin		Alan Smithee (2011)

., Hazman Ruzman	The Thief and the Wise Man (2010)  (co-director)

., Tochika		Maze (2012)
			ReBuild (2012)
			Steps (2010) (V)

., Wimerf		Chaos (2012/I)

., Zigsaw		Daizenshu (2010)

1, Todd			Ignore 5 Deadly VideosIgnore  (2004)

12 Poissons, Les	Rondo pour trompette (2002)

13, Phoenix		Action Man (1998) (V)
			Action Man 2 (1998) (V)
			Anal Graveyard (1997) (V)
			Office Sluts (1998) (V)
